Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1991,Prince William Sound,Coho Salmon,641860,5527666,5527666,725,29,875
1991,Prince William Sound,Pink Salmon,33039955,83958708,83958708,602,33,721
1991,Prince William Sound,Sockeye Salmon,1734344,10367964,10367964,793,25,1115
1991,Southeast/Yakutat,Chinook Salmon,339534,5655174,5655174,2358,84,2273
1991,Southeast/Yakutat,Chum Salmon,3336042,26510853,26510853,2190,83,2203
1991,Southeast/Yakutat,Coho Salmon,3197004,22828082,22828082,2433,90,2556
1991,Southeast/Yakutat,Pink Salmon,61926339,167717493,167717493,2032,68,2052
1991,Southeast/Yakutat,Sockeye Salmon,2063585,12307404,12307404,2023,82,1991
1991,Yukon,Chinook Salmon,101926,2059559,2059559,753,19,3
1991,Yukon,Chum Salmon,585114,4031505,4031505,766,20,2
1991,Yukon,Coho Salmon,106151,729549,729549,550,12,1
1992,Alaska Peninsula/Aleutian Islands,Chinook Salmon,21170,352301,352301,398,25,361
1992,Alaska Peninsula/Aleutian Islands,Chum Salmon,1659555,11159985,11159985,424,27,407
1992,Alaska Peninsula/Aleutian Islands,Coho Salmon,625045,4337048,4337048,483,18,439
1992,Alaska Peninsula/Aleutian Islands,Pink Salmon,10276853,34287046,34287046,381,24,364
1992,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,7024507,39659093,39659093,469,27,450
1992,Arctic/Kotzebue,Chinook Salmon,204,2714,2714,59,3,2
1992,Arctic/Kotzebue,Chum Salmon,289187,2397302,2397302,149,3,2
1992,Atka/Amlia Islands,Chum Salmon,,,,5,1,2
