Year,Species Name,Port Area,Pounds,Value
1980,Sanddab,LOS ANGELES,"1,663","$ 1,804.00 "
1980,"Abalone, pink",LOS ANGELES,"22,744","$ 48,147.00 "
1980,Silversides,SAN FRANCISCO,Confidential,Confidential
1980,"Smelt, surf",SAN FRANCISCO,Confidential,Confidential
1980,"Worms, marine",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, chilipepper",SAN FRANCISCO,Confidential,Confidential
1980,"Halibut, California",MONTEREY,"69,352","$ 68,625.00 "
1980,"Sole, petrale",SAN DIEGO,63,$ 76.00 
1980,"Rockfish, bocaccio",MONTEREY,"2,982,252","$ 526,151.00 "
1980,"Rockfish, brown",MONTEREY,"10,170","$ 6,683.00 "
1980,"Sea cucumber, unspecified",LOS ANGELES,Confidential,Confidential
1980,"Skate, unspecified",SAN FRANCISCO,"16,527","$ 2,677.00 "
1980,"Salmon, Chinook",MONTEREY,"694,525","$ 1,522,928.00 "
1980,"Shark, Pacific angel",SAN FRANCISCO,Confidential,Confidential
1980,"Flounder, starry",MONTEREY,Confidential,Confidential
1980,"Herring, Pacific",EUREKA,Confidential,Confidential
1980,Opaleye,LOS ANGELES,Confidential,Confidential
1980,"Smelts, true",SAN FRANCISCO,Confidential,Confidential
1980,"Octopus, unspecified",LOS ANGELES,620,"$ 1,018.00 "
1980,"Seabass, white",MONTEREY,Confidential,Confidential
1980,"Lobster, California spiny",MORRO BAY,Confidential,Confidential
1980,"Shark, shortfin mako",BODEGA BAY,Confidential,Confidential
1980,"Sole, unspecified",MONTEREY,"15,596","$ 4,680.00 "
1980,Sablefish,SAN DIEGO,"140,449","$ 30,363.00 "
1980,"Bonito, Pacific",LOS ANGELES,"12,912,112","$ 2,461,839.00 "
1980,"Surfperch, rubberlip",LOS ANGELES,Confidential,Confidential
1980,Silversides,LOS ANGELES,"9,995","$ 1,988.00 "
1980,"Rockfish, Pacific ocean perch",EUREKA,"26,759","$ 4,305.00 "
1980,"Sole, Dover",BODEGA BAY,"546,229","$ 112,078.00 "
1980,"Herring, Pacific",MONTEREY,"345,849","$ 77,136.00 "
1980,"Greenling, kelp",SAN FRANCISCO,Confidential,Confidential
1980,Butterfish (Pacific pompano),SAN DIEGO,Confidential,Confidential
1980,"Rockfish, black",SANTA BARBARA,Confidential,Confidential
1980,"Barracuda, California",SAN DIEGO,"4,179","$ 2,969.00 "
1980,Dolphin (fish),SAN DIEGO,Confidential,Confidential
1980,Cabezon,SAN DIEGO,Confidential,Confidential
1980,"Ray, bat",SAN FRANCISCO,Confidential,Confidential
1980,Triggerfish,LOS ANGELES,Confidential,Confidential
1980,Sablefish,MORRO BAY,"652,283","$ 47,183.00 "
1980,"Sole, unspecified",BODEGA BAY,Confidential,Confidential
1980,Turbot,SANTA BARBARA,83,$ 21.00 
1980,"Rockfish, blackgill",MORRO BAY,Confidential,Confidential
1980,"Crab, Dungeness",FORT BRAGG,"1,063,329","$ 611,648.00 "
1980,"Shark, shortfin mako",SAN DIEGO,"18,390","$ 11,098.00 "
1980,"Tuna, albacore",MORRO BAY,"2,735,160","$ 1,999,254.00 "
1980,"Sea urchin, red",MONTEREY,Confidential,Confidential
1980,Thornyheads,SAN FRANCISCO,"212,389","$ 34,942.00 "
1980,"Shark, blue",SAN FRANCISCO,Confidential,Confidential
1980,Dolphin (fish),LOS ANGELES,Confidential,Confidential
1980,"Sole, petrale",MONTEREY,"265,802","$ 121,978.00 "
1980,"Rockfish, unspecified",SAN FRANCISCO,"912,192","$ 197,500.00 "
1980,"Tuna, skipjack",SAN DIEGO,"161,268,268","$ 80,966,816.00 "
